size,mflop
31,32451.9
32,54274.8
96,58241.3
97,27907.4
127,56048.2
128,56952.9
129,33020.2
191,58100.9
192,59113.5
229,43982.5
255,56170.6
256,56826.2
257,42959.4
319,57715.6
320,57045.2
321,43905
417,47045.7
479,52866.7
480,53528.7
511,50666.4
512,46747
639,52916
640,52388.7
767,53326.3
768,50296.9
769,48334.6
1023,52239.8
1024,43766.3
1025,48087.2
1525,50953.9
1526,52238.4
1527,51115.5
